"","V1","V2","V3"
"1",1,"#ffffff",1.87
"2",2,"#ffc0cb",2.38
"3",3,"#b22222",3.094
"4",4,"#ff1493",2.601
"5",5,"#00ff00",3.264
"6",6,"#c8c8c8",2.89
"7",7,"#8f8fff",2.635
"8",8,"#f00000",2.584
"9",9,"#daa520",2.499
"10",10,"#ff1493",2.618
"11",11,"#0000ff",3.859
"12",12,"#228b22",2.941
"13",13,"#808090",3.128
"14",14,"#daa520",3.57
"15",15,"#ffa500",3.06
"16",16,"#ffc832",3.06
"17",17,"#00ff00",2.975
"18",18,"#ff1493",3.196
"19",19,"#ff1493",4.675
"20",20,"#808090",3.927
"21",21,"#ff1493",3.655
"22",22,"#808090",3.587
"23",23,"#ff1493",3.519
"24",24,"#808090",3.502
"25",25,"#808090",3.485
"26",26,"#ffa500",3.468
"27",27,"#ff1493",3.4
"28",28,"#a52a2a",3.349
"29",29,"#a52a2a",3.332
"30",30,"#a52a2a",3.417
"31",31,"#ff1493",3.179
"32",32,"#ff1493",3.587
"33",33,"#ff1493",3.145
"34",34,"#ff1493",3.23
"35",35,"#a52a2a",3.145
"36",36,"#ff1493",3.434
"37",37,"#ff1493",5.151
"38",38,"#ff1493",4.233
"39",39,"#ff1493",3.944
"40",40,"#ff1493",3.791
"41",41,"#ff1493",3.706
"42",42,"#ff1493",3.689
"43",43,"#ff1493",3.672
"44",44,"#ff1493",3.621
"45",45,"#ff1493",3.57
"46",46,"#ff1493",3.57
"47",47,"#808090",3.587
"48",48,"#ff1493",3.706
"49",49,"#ff1493",3.281
"50",50,"#ff1493",3.689
"51",51,"#ff1493",3.502
"52",52,"#ff1493",3.502
"53",53,"#a020f0",3.366
"54",54,"#ff1493",3.672
"55",55,"#ff1493",5.831
"56",56,"#ffa500",4.556
"57",57,"#ff1493",4.131
"58",58,"#ff1493",4.114
"59",59,"#ff1493",4.08
"60",60,"#ff1493",4.063
"61",61,"#ff1493",4.046
"62",62,"#ff1493",4.012
"63",63,"#ff1493",3.995
"64",64,"#ff1493",3.978
"65",65,"#ff1493",3.961
"66",66,"#ff1493",3.927
"67",67,"#ff1493",3.91
"68",68,"#ff1493",3.893
"69",69,"#ff1493",3.859
"70",70,"#ff1493",3.842
"71",71,"#ff1493",3.808
"72",72,"#ff1493",3.791
"73",73,"#ff1493",3.774
"74",74,"#ff1493",3.706
"75",75,"#ff1493",3.672
"76",76,"#ff1493",3.672
"77",77,"#ff1493",3.621
"78",78,"#ff1493",3.621
"79",79,"#daa520",3.638
"80",80,"#ff1493",3.791
"81",81,"#ff1493",3.332
"82",82,"#ff1493",3.434
"83",83,"#ff1493",3.519
"84",84,"#ff1493",3.349
"85",85,"#ff1493",3.434
"86",86,"#ffffff",3.74
"87",87,"#ffffff",5.916
"88",88,"#ffffff",4.811
"89",89,"#ffffff",4.199
"90",90,"#ff1493",4.165
"91",91,"#ffffff",4.131
"92",92,"#ff1493",4.097
"93",93,"#ffffff",4.063
"94",94,"#ffffff",4.131
"95",95,"#ffffff",4.148
"96",96,"#ffffff",4.165
"97",97,"#ffffff",4.148
"98",98,"#ffffff",4.165
"99",99,"#ffffff",4.165
"100",100,"#ffffff",4.165
"101",101,"#ffffff",4.182
"102",102,"#ffffff",4.182
"103",103,"#ffffff",4.182
